CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk
less_0,11,all_credits_paid_back,car_used,350,100_to_500,less_1,2,male,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
no_checking,35,outstanding_credit,radio_tv,7401,500_to_1000,1_to_4,4,male,none,3,savings_insurance,40,none,free,2,management_self-employed,2,yes,yes,No Risk
no_checking,53,outstanding_credit,repairs,5255,unknown,greater_7,5,male,none,5,car_other,55,none,free,2,skilled,2,yes,yes,Risk
no_checking,36,prior_payments_delayed,car_used,8000,unknown,greater_7,5,male,co-applicant,5,savings_insurance,45,none,free,2,skilled,1,yes,yes,Risk
less_0,7,all_credits_paid_back,car_new,350,less_100,unemployed,1,female,co-applicant,2,real_estate,27,none,rent,1,skilled,1,none,yes,No Risk
no_checking,49,credits_paid_to_date,furniture,6951,500_to_1000,4_to_7,4,female,none,3,car_other,37,none,own,3,skilled,1,none,yes,Risk
0_to_200,13,no_credits,car_new,350,less_100,less_1,2,female,none,2,real_estate,22,none,own,1,skilled,1,none,yes,Risk
no_checking,50,prior_payments_delayed,education,9177,500_to_1000,4_to_7,5,male,co-applicant,4,savings_insurance,40,none,free,3,management_self-employed,2,yes,yes,Risk
less_0,5,credits_paid_to_date,car_new,350,100_to_500,less_1,2,female,none,1,savings_insurance,19,none,rent,1,skilled,1,none,yes,No Risk
0_to_200,18,credits_paid_to_date,vacation,4215,less_100,4_to_7,2,male,none,3,car_other,41,none,own,1,skilled,1,none,yes,Risk
less_0,6,all_credits_paid_back,car_new,350,less_100,unemployed,1,male,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,Risk
no_checking,58,prior_payments_delayed,appliances,10199,unknown,4_to_7,5,male,co-applicant,4,unknown,41,none,own,2,skilled,1,yes,no,Risk
no_checking,37,prior_payments_delayed,furniture,5685,greater_1000,4_to_7,4,female,co-applicant,3,car_other,45,none,own,2,skilled,1,yes,yes,Risk
less_0,39,outstanding_credit,car_used,7764,100_to_500,4_to_7,3,male,none,2,car_other,34,none,own,1,skilled,1,yes,yes,Risk
0_to_200,22,credits_paid_to_date,furniture,350,less_100,1_to_4,2,male,none,3,savings_insurance,19,none,rent,1,skilled,1,none,yes,Risk
0_to_200,19,credits_paid_to_date,furniture,1889,less_100,4_to_7,2,male,none,3,savings_insurance,29,none,own,1,skilled,1,none,yes,Risk
no_checking,39,prior_payments_delayed,radio_tv,9238,greater_1000,greater_7,5,male,none,4,unknown,41,none,free,2,skilled,1,yes,yes,No Risk
less_0,15,credits_paid_to_date,car_used,7232,less_100,1_to_4,2,male,none,1,car_other,28,stores,rent,1,unskilled,2,yes,yes,No Risk
no_checking,42,outstanding_credit,other,8194,500_to_1000,1_to_4,4,male,none,5,car_other,38,stores,own,2,unskilled,1,yes,yes,Risk
no_checking,45,prior_payments_delayed,furniture,8939,500_to_1000,greater_7,5,male,co-applicant,3,savings_insurance,47,none,free,2,skilled,2,yes,yes,Risk
no_checking,41,outstanding_credit,repairs,10385,500_to_1000,greater_7,4,male,co-applicant,4,unknown,52,none,free,2,skilled,1,yes,yes,Risk
less_0,20,credits_paid_to_date,furniture,820,500_to_1000,4_to_7,1,female,none,1,savings_insurance,37,stores,own,1,unskilled,1,none,yes,No Risk
less_0,5,all_credits_paid_back,car_new,350,less_100,unemployed,2,male,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,Risk
no_checking,41,prior_payments_delayed,car_used,12926,500_to_1000,4_to_7,3,female,none,4,car_other,46,none,free,2,skilled,2,yes,yes,Risk
less_0,5,all_credits_paid_back,car_new,350,less_100,less_1,1,male,none,1,real_estate,19,none,own,1,skilled,1,none,yes,No Risk
greater_200,26,credits_paid_to_date,car_used,3607,less_100,4_to_7,3,male,none,2,savings_insurance,51,none,free,2,skilled,1,yes,yes,No Risk
0_to_200,5,all_credits_paid_back,car_new,350,less_100,unemployed,1,male,co-applicant,3,real_estate,35,bank,rent,1,unemployed,1,none,yes,No Risk
no_checking,54,outstanding_credit,appliances,10136,greater_1000,greater_7,5,female,co-applicant,5,unknown,60,none,free,3,skilled,2,yes,yes,Risk
no_checking,36,prior_payments_delayed,business,7876,100_to_500,4_to_7,4,male,none,4,savings_insurance,28,none,own,1,management_self-employed,1,none,yes,Risk
no_checking,37,prior_payments_delayed,appliances,9532,100_to_500,4_to_7,4,female,none,3,savings_insurance,46,none,own,2,skilled,1,yes,yes,Risk
less_0,5,credits_paid_to_date,car_used,350,100_to_500,4_to_7,2,female,none,1,savings_insurance,27,none,rent,1,skilled,1,none,yes,No Risk
0_to_200,22,credits_paid_to_date,car_used,4621,less_100,less_1,3,male,none,2,real_estate,30,none,own,1,skilled,1,none,yes,No Risk
no_checking,37,prior_payments_delayed,radio_tv,2597,500_to_1000,greater_7,4,male,none,3,savings_insurance,40,none,own,1,skilled,1,none,yes,Risk
less_0,13,all_credits_paid_back,car_used,1225,100_to_500,less_1,2,female,none,2,car_other,25,bank,rent,2,unemployed,1,none,yes,No Risk
no_checking,27,credits_paid_to_date,car_used,2868,100_to_500,less_1,3,female,none,2,real_estate,36,none,own,1,skilled,1,none,yes,No Risk
less_0,28,prior_payments_delayed,furniture,3988,less_100,4_to_7,3,female,none,3,savings_insurance,33,none,own,1,skilled,1,yes,yes,No Risk
0_to_200,5,all_credits_paid_back,car_new,350,less_100,1_to_4,1,female,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
no_checking,50,outstanding_credit,radio_tv,8184,unknown,greater_7,5,male,co-applicant,5,car_other,56,none,own,2,skilled,2,yes,yes,Risk
no_checking,41,outstanding_credit,furniture,4303,greater_1000,4_to_7,4,male,none,3,savings_insurance,39,none,own,2,skilled,1,none,yes,No Risk
0_to_200,24,credits_paid_to_date,furniture,3758,less_100,4_to_7,3,female,none,1,real_estate,34,stores,own,1,unskilled,1,none,yes,No Risk
no_checking,33,prior_payments_delayed,car_used,2562,500_to_1000,1_to_4,3,male,none,4,real_estate,28,none,own,1,skilled,1,yes,yes,Risk
less_0,23,credits_paid_to_date,vacation,8331,less_100,less_1,3,female,none,2,savings_insurance,20,stores,rent,1,unskilled,1,none,yes,Risk
no_checking,13,outstanding_credit,furniture,5066,100_to_500,less_1,3,female,none,2,savings_insurance,48,none,own,2,management_self-employed,1,none,yes,No Risk
less_0,11,all_credits_paid_back,car_used,350,100_to_500,4_to_7,2,female,none,1,savings_insurance,28,stores,own,1,skilled,1,none,yes,Risk
no_checking,41,all_credits_paid_back,radio_tv,5811,100_to_500,less_1,4,female,none,3,savings_insurance,48,none,own,1,skilled,1,yes,yes,Risk
no_checking,39,credits_paid_to_date,radio_tv,5703,500_to_1000,less_1,3,male,none,4,savings_insurance,37,none,own,2,skilled,1,yes,yes,Risk
no_checking,15,outstanding_credit,car_new,1675,unknown,1_to_4,3,male,co-applicant,3,real_estate,40,bank,rent,1,unskilled,1,none,yes,Risk
greater_200,54,prior_payments_delayed,furniture,6584,500_to_1000,1_to_4,2,male,none,4,savings_insurance,34,none,own,2,skilled,1,yes,yes,Risk
no_checking,10,credits_paid_to_date,car_new,4844,greater_1000,4_to_7,2,male,guarantor,4,savings_insurance,46,none,own,1,skilled,1,yes,yes,Risk
less_0,15,all_credits_paid_back,car_used,350,less_100,unemployed,2,male,none,2,real_estate,30,none,own,1,skilled,1,none,yes,No Risk
no_checking,14,credits_paid_to_date,furniture,4020,greater_1000,1_to_4,3,male,none,3,savings_insurance,36,none,own,1,skilled,1,none,yes,No Risk
0_to_200,20,prior_payments_delayed,furniture,7240,less_100,less_1,3,male,none,3,unknown,34,none,own,1,management_self-employed,1,yes,yes,Risk
no_checking,10,credits_paid_to_date,radio_tv,4110,greater_1000,less_1,3,male,none,2,savings_insurance,40,none,own,1,skilled,1,none,yes,Risk
less_0,45,credits_paid_to_date,education,5061,greater_1000,1_to_4,3,male,none,2,savings_insurance,37,none,rent,2,skilled,1,yes,yes,Risk
no_checking,23,credits_paid_to_date,repairs,8864,less_100,4_to_7,4,male,co-applicant,5,savings_insurance,44,none,own,1,management_self-employed,1,none,yes,No Risk
greater_200,24,credits_paid_to_date,radio_tv,4204,100_to_500,less_1,3,female,none,2,savings_insurance,43,none,own,2,skilled,1,yes,yes,Risk
less_0,20,prior_payments_delayed,furniture,350,greater_1000,1_to_4,1,female,none,2,real_estate,40,stores,rent,1,skilled,2,none,yes,Risk
no_checking,33,prior_payments_delayed,appliances,8590,100_to_500,1_to_4,3,male,none,4,savings_insurance,41,stores,own,1,unskilled,2,yes,yes,No Risk
no_checking,14,prior_payments_delayed,radio_tv,8065,less_100,1_to_4,4,male,none,3,car_other,37,none,own,2,management_self-employed,1,none,yes,No Risk
0_to_200,22,prior_payments_delayed,education,3904,100_to_500,4_to_7,4,male,co-applicant,4,savings_insurance,38,none,own,1,skilled,1,yes,yes,Risk
no_checking,31,prior_payments_delayed,business,8755,100_to_500,1_to_4,4,female,none,4,unknown,52,none,own,1,skilled,1,none,yes,Risk
0_to_200,33,outstanding_credit,furniture,4170,500_to_1000,4_to_7,2,male,none,3,car_other,38,stores,own,1,skilled,1,yes,yes,No Risk
no_checking,13,credits_paid_to_date,vacation,5966,500_to_1000,1_to_4,4,male,none,3,real_estate,22,stores,own,2,unskilled,1,none,yes,No Risk
0_to_200,36,credits_paid_to_date,car_used,2993,less_100,1_to_4,3,male,none,2,savings_insurance,29,none,own,1,skilled,1,none,yes,No Risk
no_checking,10,prior_payments_delayed,radio_tv,4610,100_to_500,4_to_7,3,male,none,4,car_other,50,none,own,2,management_self-employed,1,none,yes,No Risk
less_0,16,prior_payments_delayed,car_used,1961,less_100,4_to_7,2,male,none,3,unknown,44,stores,own,1,skilled,1,none,yes,Risk
less_0,5,credits_paid_to_date,education,350,less_100,unemployed,1,female,none,1,savings_insurance,19,none,own,1,skilled,1,none,yes,No Risk
0_to_200,57,prior_payments_delayed,repairs,9269,500_to_1000,greater_7,5,male,none,3,unknown,35,bank,own,2,unemployed,1,none,yes,Risk
less_0,5,all_credits_paid_back,car_new,1821,100_to_500,less_1,1,female,none,2,real_estate,20,bank,rent,2,unskilled,2,none,yes,Risk
no_checking,39,outstanding_credit,appliances,7351,500_to_1000,1_to_4,3,male,none,3,savings_insurance,49,none,own,1,skilled,1,none,yes,No Risk
no_checking,20,credits_paid_to_date,car_new,6734,less_100,1_to_4,4,male,none,4,car_other,31,none,own,1,management_self-employed,1,none,yes,Risk
no_checking,46,prior_payments_delayed,furniture,12385,500_to_1000,1_to_4,5,male,co-applicant,4,savings_insurance,41,none,free,2,management_self-employed,1,none,yes,No Risk
0_to_200,5,credits_paid_to_date,furniture,5649,less_100,4_to_7,3,female,none,2,savings_insurance,32,none,free,2,skilled,1,yes,yes,No Risk
less_0,39,credits_paid_to_date,furniture,4165,less_100,4_to_7,2,female,none,3,savings_insurance,36,stores,own,2,skilled,1,none,yes,No Risk
no_checking,58,outstanding_credit,education,7677,500_to_1000,4_to_7,5,male,none,3,car_other,33,none,own,1,skilled,1,yes,yes,No Risk
0_to_200,41,credits_paid_to_date,appliances,4291,greater_1000,greater_7,4,male,none,2,savings_insurance,39,bank,own,2,unemployed,1,yes,yes,No Risk
0_to_200,19,prior_payments_delayed,furniture,8059,500_to_1000,greater_7,4,male,none,4,savings_insurance,47,none,own,2,skilled,1,yes,yes,Risk
less_0,18,all_credits_paid_back,car_new,3553,less_100,4_to_7,3,male,none,2,real_estate,24,none,own,1,skilled,1,none,yes,No Risk
0_to_200,40,prior_payments_delayed,radio_tv,7134,500_to_1000,1_to_4,3,male,none,4,car_other,34,bank,own,2,unemployed,1,yes,yes,No Risk
no_checking,35,prior_payments_delayed,appliances,7552,unknown,4_to_7,4,male,none,4,savings_insurance,40,none,own,1,skilled,1,none,yes,Risk
0_to_200,5,prior_payments_delayed,car_new,350,less_100,less_1,2,female,none,1,real_estate,37,none,own,1,skilled,1,yes,yes,Risk
less_0,22,all_credits_paid_back,furniture,3655,less_100,unemployed,2,male,none,3,savings_insurance,26,none,own,1,skilled,1,none,yes,No Risk
no_checking,32,prior_payments_delayed,radio_tv,2258,greater_1000,1_to_4,2,male,none,4,savings_insurance,23,none,own,1,skilled,2,none,yes,Risk
greater_200,29,credits_paid_to_date,radio_tv,8185,greater_1000,greater_7,4,male,none,3,car_other,43,bank,own,2,unemployed,1,none,yes,Risk
less_0,5,all_credits_paid_back,car_new,1300,less_100,1_to_4,1,male,none,2,real_estate,22,stores,own,1,skilled,1,none,yes,Risk
0_to_200,48,outstanding_credit,appliances,8757,unknown,greater_7,4,male,none,3,unknown,45,none,own,2,skilled,2,yes,yes,No Risk
less_0,5,prior_payments_delayed,furniture,3498,500_to_1000,1_to_4,3,male,none,2,car_other,23,none,own,1,skilled,1,none,yes,No Risk
less_0,19,credits_paid_to_date,car_new,652,less_100,unemployed,2,female,none,3,real_estate,28,none,own,1,management_self-employed,1,none,yes,No Risk
less_0,5,no_credits,car_new,1598,less_100,unemployed,2,male,none,2,real_estate,19,none,rent,1,management_self-employed,1,none,yes,No Risk
less_0,13,all_credits_paid_back,car_new,1066,less_100,1_to_4,1,female,none,2,savings_insurance,27,stores,own,1,skilled,1,none,yes,Risk
no_checking,45,outstanding_credit,radio_tv,7681,greater_1000,4_to_7,4,male,none,4,car_other,51,none,own,2,skilled,2,yes,yes,Risk
less_0,16,all_credits_paid_back,furniture,350,less_100,less_1,2,female,none,1,savings_insurance,26,stores,rent,1,unskilled,1,none,yes,No Risk
0_to_200,5,all_credits_paid_back,education,350,less_100,less_1,1,male,none,2,real_estate,20,none,rent,1,management_self-employed,1,none,yes,No Risk
no_checking,32,outstanding_credit,appliances,8184,500_to_1000,greater_7,4,male,none,5,car_other,51,none,free,2,management_self-employed,1,yes,yes,Risk
no_checking,37,prior_payments_delayed,appliances,5866,100_to_500,1_to_4,3,male,none,3,car_other,26,stores,own,2,unskilled,1,none,yes,Risk
no_checking,52,outstanding_credit,repairs,10796,greater_1000,greater_7,4,male,guarantor,5,car_other,51,none,free,2,skilled,1,yes,yes,Risk
no_checking,10,credits_paid_to_date,furniture,4209,greater_1000,less_1,2,male,none,4,car_other,37,none,own,1,skilled,1,none,yes,Risk
0_to_200,27,credits_paid_to_date,radio_tv,5292,less_100,1_to_4,3,male,none,2,savings_insurance,33,none,rent,1,skilled,1,none,yes,Risk
less_0,26,credits_paid_to_date,car_new,6788,less_100,4_to_7,3,male,none,3,savings_insurance,20,stores,own,2,skilled,1,none,yes,No Risk
no_checking,40,outstanding_credit,other,9296,500_to_1000,4_to_7,5,female,none,5,car_other,44,none,free,2,management_self-employed,1,yes,yes,Risk
no_checking,41,prior_payments_delayed,radio_tv,3924,500_to_1000,greater_7,4,male,none,4,savings_insurance,29,none,own,2,skilled,1,none,yes,Risk
no_checking,46,prior_payments_delayed,other,9233,500_to_1000,4_to_7,3,male,none,3,savings_insurance,38,none,own,1,skilled,1,none,yes,No Risk
no_checking,10,credits_paid_to_date,furniture,3649,100_to_500,4_to_7,2,male,none,4,savings_insurance,34,none,rent,2,skilled,2,yes,yes,Risk
less_0,10,prior_payments_delayed,repairs,981,500_to_1000,1_to_4,3,male,none,3,savings_insurance,43,none,rent,1,skilled,1,none,yes,No Risk
0_to_200,36,credits_paid_to_date,radio_tv,350,100_to_500,4_to_7,2,male,none,2,real_estate,19,stores,own,1,skilled,1,none,yes,No Risk
less_0,18,all_credits_paid_back,vacation,5460,100_to_500,1_to_4,3,female,none,3,real_estate,24,none,own,1,skilled,1,none,yes,No Risk
0_to_200,35,credits_paid_to_date,retraining,2137,less_100,4_to_7,3,male,none,1,car_other,26,stores,free,2,unskilled,1,yes,yes,Risk
0_to_200,20,prior_payments_delayed,repairs,3085,less_100,4_to_7,2,male,none,2,unknown,52,none,own,2,skilled,2,yes,yes,Risk
0_to_200,5,all_credits_paid_back,car_new,1952,less_100,1_to_4,2,female,none,1,real_estate,27,none,own,1,skilled,1,none,yes,No Risk
less_0,16,prior_payments_delayed,furniture,3413,less_100,1_to_4,2,female,none,3,car_other,36,stores,rent,1,skilled,1,none,yes,No Risk
0_to_200,54,outstanding_credit,repairs,6966,500_to_1000,1_to_4,3,male,none,2,car_other,26,none,own,2,skilled,1,yes,yes,No Risk
no_checking,46,outstanding_credit,repairs,9017,500_to_1000,greater_7,4,male,co-applicant,4,car_other,50,none,free,2,skilled,1,yes,no,Risk
no_checking,41,outstanding_credit,appliances,6542,greater_1000,4_to_7,3,female,none,4,unknown,34,none,own,1,skilled,2,yes,yes,Risk
0_to_200,29,prior_payments_delayed,radio_tv,8615,less_100,greater_7,3,female,none,3,unknown,52,none,own,2,skilled,1,none,yes,No Risk
no_checking,36,credits_paid_to_date,furniture,5311,greater_1000,greater_7,4,female,none,4,car_other,43,none,free,3,skilled,2,yes,yes,Risk
less_0,18,all_credits_paid_back,furniture,1568,less_100,4_to_7,3,female,none,1,real_estate,26,bank,own,2,unemployed,1,none,yes,No Risk
less_0,5,all_credits_paid_back,car_new,923,less_100,less_1,2,male,none,2,real_estate,25,stores,own,1,skilled,1,none,yes,Risk
0_to_200,37,credits_paid_to_date,car_used,3795,less_100,less_1,2,male,none,2,savings_insurance,28,none,own,2,skilled,1,none,yes,Risk
less_0,5,all_credits_paid_back,car_new,4156,less_100,less_1,2,male,none,1,real_estate,26,none,own,1,management_self-employed,1,none,yes,No Risk
no_checking,32,prior_payments_delayed,business,9613,100_to_500,4_to_7,4,female,none,4,savings_insurance,41,none,own,1,skilled,1,none,yes,No Risk
0_to_200,11,credits_paid_to_date,car_new,350,500_to_1000,less_1,2,female,none,2,savings_insurance,19,stores,rent,1,skilled,1,none,yes,No Risk
less_0,27,prior_payments_delayed,radio_tv,4831,less_100,4_to_7,3,male,none,2,car_other,33,none,own,2,skilled,1,none,yes,No Risk
no_checking,10,credits_paid_to_date,car_new,350,less_100,less_1,2,female,none,2,real_estate,38,none,own,1,skilled,1,none,yes,No Risk
no_checking,48,credits_paid_to_date,car_used,9262,500_to_1000,greater_7,3,male,co-applicant,4,car_other,40,stores,own,2,unskilled,1,none,yes,Risk
less_0,6,all_credits_paid_back,car_new,350,less_100,unemployed,2,male,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
greater_200,40,prior_payments_delayed,appliances,4664,100_to_500,less_1,3,male,none,3,savings_insurance,37,none,rent,2,management_self-employed,1,yes,yes,Risk
no_checking,23,outstanding_credit,business,7918,100_to_500,4_to_7,4,male,guarantor,5,savings_insurance,53,none,free,1,management_self-employed,1,yes,yes,No Risk
no_checking,46,outstanding_credit,radio_tv,13832,unknown,greater_7,4,male,co-applicant,3,unknown,62,stores,free,3,unskilled,2,yes,yes,Risk
less_0,52,prior_payments_delayed,business,4440,100_to_500,greater_7,4,female,none,3,savings_insurance,28,bank,own,3,unemployed,1,none,yes,No Risk
no_checking,50,outstanding_credit,other,13416,unknown,greater_7,5,male,co-applicant,5,car_other,44,none,own,3,skilled,2,yes,yes,Risk
no_checking,39,outstanding_credit,other,14950,unknown,1_to_4,5,male,none,4,unknown,39,none,free,2,management_self-employed,2,yes,yes,Risk
no_checking,41,outstanding_credit,repairs,10304,greater_1000,greater_7,5,male,none,3,unknown,52,stores,free,2,unskilled,2,yes,no,Risk
less_0,14,prior_payments_delayed,furniture,350,less_100,1_to_4,2,female,none,3,savings_insurance,21,bank,rent,1,unskilled,1,yes,yes,Risk
greater_200,28,outstanding_credit,car_used,4585,100_to_500,greater_7,3,male,none,3,car_other,41,none,own,2,skilled,1,yes,yes,Risk
0_to_200,28,credits_paid_to_date,car_new,534,less_100,1_to_4,2,male,none,3,car_other,20,bank,rent,1,unskilled,1,none,yes,No Risk
no_checking,32,prior_payments_delayed,furniture,6545,500_to_1000,4_to_7,3,male,none,4,savings_insurance,39,none,free,2,skilled,1,none,yes,Risk
0_to_200,20,credits_paid_to_date,furniture,2735,less_100,4_to_7,2,male,none,2,car_other,21,none,own,1,skilled,1,none,yes,Risk
0_to_200,36,outstanding_credit,car_used,10991,100_to_500,4_to_7,4,female,none,4,unknown,52,stores,own,2,skilled,1,none,yes,Risk
no_checking,37,prior_payments_delayed,car_used,4691,unknown,1_to_4,3,male,none,5,savings_insurance,49,none,own,2,skilled,2,yes,yes,No Risk
0_to_200,19,no_credits,car_new,666,100_to_500,less_1,1,male,none,2,real_estate,21,none,rent,2,skilled,1,none,yes,No Risk
less_0,5,credits_paid_to_date,car_new,350,less_100,less_1,1,female,none,1,savings_insurance,19,bank,rent,1,unemployed,1,none,yes,No Risk
no_checking,45,credits_paid_to_date,appliances,7823,100_to_500,1_to_4,4,male,none,4,real_estate,45,none,own,2,management_self-employed,2,yes,yes,No Risk
less_0,14,all_credits_paid_back,car_used,350,500_to_1000,less_1,1,male,none,1,real_estate,21,bank,rent,1,unemployed,1,none,yes,Risk
less_0,19,credits_paid_to_date,furniture,2682,100_to_500,1_to_4,3,male,none,2,car_other,30,bank,rent,2,unemployed,1,none,yes,No Risk
no_checking,18,credits_paid_to_date,furniture,4229,less_100,4_to_7,2,male,none,2,savings_insurance,46,none,own,1,skilled,2,yes,yes,No Risk
no_checking,35,prior_payments_delayed,education,6252,unknown,greater_7,3,male,none,2,savings_insurance,41,stores,free,2,unskilled,1,yes,yes,No Risk
no_checking,39,outstanding_credit,furniture,5041,unknown,greater_7,4,male,none,3,savings_insurance,35,bank,own,2,unskilled,1,none,yes,Risk
no_checking,35,outstanding_credit,appliances,6788,greater_1000,greater_7,5,male,none,3,car_other,49,none,free,2,skilled,2,yes,yes,Risk
0_to_200,5,all_credits_paid_back,car_new,4886,100_to_500,1_to_4,1,female,co-applicant,3,car_other,26,none,own,1,skilled,1,none,yes,Risk
less_0,19,credits_paid_to_date,furniture,4761,100_to_500,4_to_7,3,male,none,3,car_other,33,none,own,1,skilled,2,none,yes,Risk
no_checking,24,outstanding_credit,radio_tv,5133,500_to_1000,1_to_4,4,female,none,3,car_other,44,none,own,1,skilled,1,none,yes,No Risk
0_to_200,22,credits_paid_to_date,car_new,4649,less_100,unemployed,3,female,none,3,savings_insurance,30,none,own,2,skilled,1,yes,yes,Risk
no_checking,28,outstanding_credit,education,8513,unknown,4_to_7,4,male,none,5,savings_insurance,36,none,own,2,skilled,1,yes,yes,Risk
no_checking,37,credits_paid_to_date,business,8983,100_to_500,1_to_4,4,male,none,4,savings_insurance,40,none,own,1,management_self-employed,1,none,yes,Risk
0_to_200,33,credits_paid_to_date,radio_tv,3574,less_100,1_to_4,3,male,none,2,car_other,37,none,own,2,skilled,1,none,yes,No Risk
no_checking,35,outstanding_credit,radio_tv,7902,500_to_1000,4_to_7,4,female,none,5,savings_insurance,48,none,own,2,management_self-employed,1,yes,yes,Risk
0_to_200,5,no_credits,car_new,350,less_100,less_1,2,male,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
less_0,22,prior_payments_delayed,furniture,2637,less_100,4_to_7,2,female,none,2,savings_insurance,45,stores,free,1,unskilled,1,yes,yes,No Risk
less_0,5,all_credits_paid_back,car_new,1400,less_100,1_to_4,1,male,none,2,real_estate,22,stores,rent,1,skilled,1,none,yes,Risk
0_to_200,23,credits_paid_to_date,furniture,3130,500_to_1000,1_to_4,3,male,none,2,savings_insurance,30,none,own,1,skilled,1,none,yes,No Risk
no_checking,57,outstanding_credit,repairs,8647,unknown,greater_7,5,male,co-applicant,3,car_other,55,none,free,3,skilled,2,yes,yes,Risk
0_to_200,42,prior_payments_delayed,appliances,3399,100_to_500,greater_7,4,male,none,4,car_other,35,none,own,1,skilled,1,none,yes,Risk
0_to_200,20,prior_payments_delayed,furniture,4195,less_100,4_to_7,4,male,none,3,savings_insurance,26,none,free,2,management_self-employed,1,none,yes,No Risk
0_to_200,16,prior_payments_delayed,car_used,3190,less_100,4_to_7,2,female,none,2,savings_insurance,46,bank,own,2,unemployed,1,yes,yes,Risk
0_to_200,36,outstanding_credit,car_used,5208,greater_1000,greater_7,4,female,none,4,car_other,38,none,own,2,skilled,1,none,no,Risk
less_0,10,all_credits_paid_back,education,3539,less_100,1_to_4,2,female,none,2,savings_insurance,38,none,own,1,skilled,1,none,yes,No Risk
0_to_200,5,credits_paid_to_date,vacation,3758,less_100,4_to_7,2,female,co-applicant,3,car_other,42,none,own,1,skilled,1,none,yes,No Risk
0_to_200,26,credits_paid_to_date,furniture,5636,500_to_1000,less_1,3,male,none,2,car_other,36,none,own,1,skilled,1,none,yes,No Risk
greater_200,40,prior_payments_delayed,education,1800,100_to_500,1_to_4,3,female,none,3,real_estate,35,none,own,1,skilled,1,none,yes,Risk
0_to_200,18,credits_paid_to_date,car_new,2877,less_100,4_to_7,3,male,none,2,savings_insurance,33,none,own,1,skilled,1,none,yes,No Risk
less_0,6,prior_payments_delayed,furniture,2790,less_100,less_1,2,female,none,3,savings_insurance,33,none,own,1,skilled,1,none,yes,No Risk
no_checking,32,prior_payments_delayed,radio_tv,7021,100_to_500,1_to_4,3,male,none,4,car_other,45,stores,own,1,unskilled,1,yes,yes,Risk
less_0,5,credits_paid_to_date,car_new,350,less_100,1_to_4,2,female,none,1,savings_insurance,40,none,own,1,skilled,1,none,yes,No Risk
0_to_200,32,prior_payments_delayed,radio_tv,4788,500_to_1000,greater_7,2,female,none,3,car_other,45,none,own,2,skilled,1,yes,yes,Risk
0_to_200,5,all_credits_paid_back,car_new,2385,less_100,1_to_4,3,female,none,2,car_other,19,none,own,1,skilled,1,none,yes,No Risk
no_checking,55,prior_payments_delayed,repairs,8084,500_to_1000,greater_7,5,male,co-applicant,3,unknown,47,none,free,3,skilled,2,yes,yes,Risk
0_to_200,18,credits_paid_to_date,furniture,8888,less_100,4_to_7,3,male,none,2,savings_insurance,35,stores,own,1,unskilled,2,none,yes,Risk
less_0,11,all_credits_paid_back,car_new,350,100_to_500,1_to_4,2,female,none,1,savings_insurance,24,none,rent,1,skilled,2,yes,yes,Risk
less_0,20,prior_payments_delayed,retraining,2548,500_to_1000,greater_7,4,female,none,3,car_other,22,stores,rent,1,skilled,2,none,yes,No Risk
no_checking,58,prior_payments_delayed,appliances,8453,500_to_1000,4_to_7,4,male,guarantor,5,unknown,58,none,free,2,skilled,2,yes,yes,Risk
less_0,22,credits_paid_to_date,furniture,1673,less_100,less_1,3,female,none,3,real_estate,36,none,own,1,skilled,1,none,yes,No Risk
greater_200,37,outstanding_credit,radio_tv,8677,500_to_1000,1_to_4,4,female,guarantor,5,car_other,50,none,free,1,skilled,1,yes,yes,Risk
less_0,5,all_credits_paid_back,car_new,350,less_100,unemployed,1,male,none,2,real_estate,24,bank,rent,1,unskilled,1,none,yes,No Risk
no_checking,48,outstanding_credit,appliances,7984,greater_1000,greater_7,5,male,co-applicant,4,unknown,47,none,free,2,skilled,1,yes,yes,Risk
0_to_200,5,all_credits_paid_back,car_new,350,less_100,1_to_4,2,female,none,2,real_estate,29,none,own,1,skilled,1,yes,yes,No Risk
less_0,13,all_credits_paid_back,car_used,1888,100_to_500,less_1,2,female,none,1,car_other,36,stores,rent,1,unskilled,2,none,yes,Risk
no_checking,42,outstanding_credit,appliances,11117,500_to_1000,4_to_7,5,male,co-applicant,4,unknown,36,none,free,2,skilled,1,yes,yes,Risk
less_0,10,all_credits_paid_back,car_new,350,less_100,unemployed,2,female,none,2,savings_insurance,19,none,rent,1,skilled,1,none,yes,Risk
no_checking,26,credits_paid_to_date,retraining,4594,100_to_500,1_to_4,4,female,none,4,savings_insurance,42,none,own,2,skilled,1,none,yes,No Risk
no_checking,36,outstanding_credit,other,7914,greater_1000,4_to_7,4,female,none,4,unknown,55,none,own,2,skilled,2,yes,yes,Risk
